Company Name,GitHub Link,Seed Date,Seed Amount,Seed Ext Date,Seed Ext Amount,Series A Date,Series A Amount,Series A Bridge Date,Series A Bridge Amount,Series B Date,Series B Amount,Series B-1 Date,Series B-1 Amount,Series C Date,Series C Amount,Series D Date,Series D Amount,Series E Date,Series E Amount,Series F Date,Series F Amount,Series G Date,Series G Amount,Exit State,Exit Date
Gitpod,https://github.com/gitpod-io/gitpod,10/1/20,$3M,4/1/21,$13M,11/1/22,$25M,,,,,,,,,,,,,,,,,none,
Gradle,https://github.com/gradle/gradle,12/1/15,$4.2M,,,5/25/16,$10.5M,,,10/1/18,$13M,,,11/1/21,$27M,,,,,,,,,none,
Grafana Labs,https://github.com/grafana/grafana,12/3/18,$1.2M,,,10/24/19,$24M,,,8/17/20,$50M,,,8/24/21,$220M,8/27/22,$510M,,,,,,,none,
Harness,https://github.com/harness/harness,,,,,10/24/17,$20M,,,4/24/19,$60M,1/1/20,$30M,1/14/21,$85M,4/12/22,$175M,,,,,,,none,
Hasura,https://github.com/hasura/graphql-engine,4/1/18,$1.6M,,,2/26/20,$9.9M,,,9/8/20,$25M,,,2/22/22,$100M,,,,,,,,,none,
Hazelcast,https://github.com/hazelcast/hazelcast,,,,,9/19/13,$2.6M,,,9/18/14,$11M,,,,,6/18/19,$50M,,,,,,,none,
HumanSignal,https://github.com/HumanSignal/label-studio,1/1/21,$4M,,,5/1/22,$25M,,,,,,,,,,,,,,,,,none,
InfluxData,https://github.com/influxdata/influxdb,6/5/13,$0.8M,,,12/8/14,$8.1M,,,9/21/16,$16M,,,2/13/18,$35M,2/13/19,$60M,2/7/23,$51M,,,,,none,
Ionic,https://github.com/ionic-team/ionic-framework,3/1/14,$1M,,,4/1/16,$8.88M,,,2/6/19,$5.8M,,,2/20/20,$6M,,,,,,,,,acquired,11/7/22
Jito Labs,https://github.com/jito-foundation/jito-solana,12/21/21,$2.1M,,,8/1/22,$10M,,,,,,,,,,,,,,,,,none,
Kong,https://github.com/Kong/kong,8/15/11,$1.5M,,,11/21/13,$6.5M,,,3/1/17,$18M,,,3/28/19,$43M,2/8/21,$100M,11/19/24,$175M,,,,,none,
Liquibase,https://github.com/liquibase/liquibase,7/18/12,$0.66M,5/21/13,$1M,12/16/13,$3M,4/23/15,$2.3M,1/1/16,$8M,,,2/1/19,$10M,,,,,,,,,none,
Logical Clocks,https://github.com/logicalclocks/hopsworks,11/1/18,$1.3M,,,7/1/21,$5M,,,6/1/23,$6.5M,,,,,,,,,,,,,none,
Mattermost,https://github.com/mattermost/mattermost,2/15/17,$3.5M,,,2/5/19,$20M,,,6/19/19,$50M,,,,,,,,,,,,,none,
Mautic,https://github.com/mautic/mautic,6/6/16,$600K,,,9/20/16,$5M,,,,,,,,,,,,,,,,,acquired,5/8/19
MeiliSearch,https://github.com/meilisearch/meilisearch,1/27/22,$5M,,,10/10/22,$15M,,,,,,,,,,,,,,,,,none,
Metabase,https://github.com/metabase/metabase,2/8/19,$13M,,,4/23/19,$8M,,,5/25/21,$30M,,,,,,,,,,,,,none,
MinIO,https://github.com/minio/minio,6/17/15,$3.3M,,,9/19/17,$20M,,,1/26/22,$103M,,,,,,,,,,,,,none,
n8n,https://github.com/n8n-io/n8n,3/1/20,$1.5M,,,4/1/21,$12M,,,3/1/25,$59.5M,,,,,,,,,,,,,none,
Ockam,https://github.com/build-trust/ockam,10/15/19,$4.9M,,,1/1/22,$12.5M,,,,,,,,,,,,,,,,,none,
Oro,https://github.com/oroinc/crm-application,,,,,3/3/16,$12M,,,1/19/23,$13M,,,,,,,,,,,,,none,
Pachyderm,https://github.com/pachyderm/pachyderm,6/10/15,$2M,,,11/15/18,$10M,,,8/19/20,$16M,,,,,,,,,,,,,acquired,1/12/23
Pimcore,https://github.com/pimcore/pimcore,,,,,12/1/18,$3.5M,,,9/1/22,$12M,,,,,,,,,,,,,none,
PingCAP,https://github.com/pingcap/tidb,4/1/15,$1.6M,,,8/1/16,$5M,,,6/13/17,$15M,,,9/1/18,$50M,11/1/20,$570M,,,,,,,none,
Posthog,https://github.com/PostHog/posthog,6/4/20,$3M,,,12/17/20,$9M,,,6/10/21,$15M,,,1/1/24,$10M,6/9/25,$70M,,,,,,,none,
Prefect,https://github.com/PrefectHQ/prefect,12/12/19,$2.5M,,,2/9/21,$11.5M,,,6/10/21,$32M,,,,,,,,,,,,,none,
PrestaShop,https://github.com/PrestaShop/PrestaShop,,,,,8/1/11,$3M,,,3/1/14,$9.3M,,,,,,,,,,,,,none,
ProcessMaker,https://github.com/ProcessMaker/processmaker,,,,,2/1/21,$45M,,,,,,,,,,,,,,,,,none,
Reaction Commerce,https://github.com/reactioncommerce/reaction,,,,,10/31/17,$8.5M,,,,,,,,,,,,,,,,,acquired,4/22/20
Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,10/11/16,$5M,8/6/19,$2.9M,2/3/21,$19M,,,9/21/23,$10M,,,,,,,,,,,,,none,
Rudderstack,https://github.com/rudderlabs/rudder-server,3/27/20,$5M,,,6/10/21,$21M,,,2/2/22,$56M,,,,,,,,,,,,,none,
Sentry,https://github.com/getsentry/sentry,8/9/15,$1.5M,,,6/23/16,$9M,,,5/23/18,$16.5M,,,9/24/19,$40M,2/18/21,$60M,5/4/22,$90M,,,,,none,
Serverless,https://github.com/serverless/serverless,10/12/16, $3M,,,7/30/18, $10M,,,,,,,,,,,,,,,,,none,
Smallstep,https://github.com/smallstep/certificates,8/19/16,$7M,,,4/1/22,$19M,,,,,,,,,,,,,,,,,none,
Spree Commerce,https://github.com/spree/spree,7/1/11,$1.5M,,,2/1/14,$5M,,,,,,,,,,,,,,,,,acquired,9/18/15
Starburst,https://github.com/trinodb/trino,,,,,11/1/19,$22M,,,6/1/20,$42M,,,1/1/21,$100M,2/1/22,$250M,,,,,,,none,
Strapi,https://github.com/strapi/strapi,10/16/19,$4M,,,5/20/20,$10M,,,6/22/22,$31M,,,,,,,,,,,,,none,
Streamlit,https://github.com/streamlit/streamlit,10/1/19,$6M,,,6/16/20,$21M,,,4/7/21,$35M,,,,,,,,,,,,,acquired,3/2/22
Supabase,https://github.com/supabase/supabase,12/15/20,$6M,,,9/9/21,$30M,,,5/10/22,$80M,,,9/25/24,$80M,4/22/25,$200M,,,,,,,none,
Sysdig,https://github.com/draios/sysdig,6/30/13,$2.3M,,,7/14/15,$10.7M,,,4/21/16,$15M,,,10/12/17,$25M,9/12/18,$68.5M,1/22/20,$70M,4/28/21,$188M,12/15/21,$350M,none,
Teleport,https://github.com/gravitational/teleport,5/30/16,$4.2M,,,11/20/19,$25M,,,8/18/21,$30M,,,5/3/22,$110M,,,,,,,,,none,
Temporal,https://github.com/temporalio/temporal,11/1/19,$6.8M,,,10/15/20,$18.8M,,,2/16/22,$103M,2/28/23,$75M,3/31/25,$146M,,,,,,,,,none,
Tier IV,https://github.com/autowarefoundation/autoware_universe,,,,,7/1/19,$104M,,,7/19/22,$92M,1/1/24,$56M,,,,,,,,,,,none,
Tigera,https://github.com/tigera/operator,,,,,6/1/16,$13M,1/1/18,$10M,12/1/18,$30M,,,,,,,,,,,,,none,
Timescale,https://github.com/timescale/timescaledb,1/1/16,$3.7M,,,1/24/18,$12.4M,1/29/19,$15M,5/5/21,$40M,,,2/22/22,$110M,,,,,,,,,none,
Treeverse,https://github.com/treeverse/lakeFS,,,,,7/28/21,$23M,,,7/29/25,$20M,,,,,,,,,,,,,none,
Tyk,https://github.com/TykTechnologies/tyk,,,,,7/1/19,$5M,,,9/1/21,$35M,,,,,,,,,,,,,none,
Unstructured,https://github.com/Unstructured-IO/unstructured,,,,,7/19/23,$25M,,,3/14/24,$40M,,,,,,,,,,,,,none,
Weaviate,https://github.com/weaviate/weaviate,8/1/20,$1.2M,,,2/1/22,$16.5M,,,4/1/23,$50M,,,,,,,,,,,,,none,
Yugabyte,https://github.com/yugabyte/yugabyte-db,3/1/16,$8M,,,6/1/18,$16M,,,6/1/20,$30M,3/1/21,$48M,10/1/21,$188M,,,,,,,,,none,
